"P.NmPrj";"P.QdrRef";"B.NmBra";"A.VrsAny";"A.DatAny";"M.CleMtr";"M.NmMtr";"M.DmnMtr";"M.TypMtr";"M.TopVal";"MV.ValGbl";"MV.VarPndPedRef"
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"effort_to_reach_maintainability_rating_a";"Effort to Reach Maintainability Rating A";"Maintainability";"WORK_DUR";-1;0.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"false_positive_issues";"False Positive Issues";"Issues";"INT";-1;0.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"files";"Files";"Size";"INT";-1;120.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"functions";"Functions";"Size";"INT";-1;402.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"info_violations";"Info Issues";"Issues";"INT";-1;1.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"violations";"Issues";"Issues";"INT";-1;193.00;-27.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"line_coverage";"Line Coverage";"Coverage";"PERCENT";1;36.50;0.20
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_line_coverage";"Line Coverage on New Code";"Coverage";"PERCENT";1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"lines";"Lines";"Size";"INT";-1;8607.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"ncloc";"Lines of Code";"Size";"INT";-1;3464.00;-4.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"lines_to_cover";"Lines to Cover";"Coverage";"INT";-1;1138.00;-6.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_lines_to_cover";"Lines to Cover on New Code";"Coverage";"INT";-1;1.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"sqale_rating";"Maintainability Rating";"Maintainability";"RATING";-1;1.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_maintainability_rating";"Maintainability Rating on New Code";"Maintainability";"RATING";-1;1.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"minor_violations";"Minor Issues";"Issues";"INT";-1;22.00;3.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_blocker_violations";"New Blocker Issues";"Issues";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_bugs";"New Bugs";"Reliability";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_code_smells";"New Code Smells";"Maintainability";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_critical_violations";"New Critical Issues";"Issues";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_info_violations";"New Info Issues";"Issues";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_violations";"New Issues";"Issues";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_lines";"New Lines";"Size";"INT";-1;1.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_major_violations";"New Major Issues";"Issues";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_minor_violations";"New Minor Issues";"Issues";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_vulnerabilities";"New Vulnerabilities";"Security";"INT";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"open_issues";"Open Issues";"Issues";"INT";-1;193.00;-27.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"reliability_rating";"Reliability Rating";"Reliability";"RATING";-1;3.00;-1.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_reliability_rating";"Reliability Rating on New Code";"Reliability";"RATING";-1;1.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"reliability_remediation_effort";"Reliability Remediation Effort";"Reliability";"WORK_DUR";-1;30.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_reliability_remediation_effort";"Reliability Remediation Effort on New Code";"Reliability";"WORK_DUR";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"reopened_issues";"Reopened Issues";"Issues";"INT";-1;0.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"security_rating";"Security Rating";"Security";"RATING";-1;1.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_security_rating";"Security Rating on New Code";"Security";"RATING";-1;1.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"security_remediation_effort";"Security Remediation Effort";"Security";"WORK_DUR";-1;0.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"skipped_tests";"Skipped Unit Tests";"Coverage";"INT";-1;0.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"statements";"Statements";"Size";"INT";-1;1373.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"sqale_index";"Technical Debt";"Maintainability";"WORK_DUR";-1;2158.00;-201.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"sqale_debt_ratio";"Technical Debt Ratio";"Maintainability";"PERCENT";-1;2.10;-0.20
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"new_technical_debt";"Added Technical Debt";"Maintainability";"WORK_DUR";-1;0.00;
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"blocker_violations";"Blocker Issues";"Issues";"INT";-1;0.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"bugs";"Bugs";"Reliability";"INT";-1;5.00;1.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"classes";"Classes";"Size";"INT";-1;93.00;0.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"code_smells";"Code Smells";"Maintainability";"INT";-1;188.00;-28.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"cognitive_complexity";"Cognitive Complexity";"Complexity";"INT";-1;255.00;255.00
"DSRJ";"DSRJ";"master";"V18-01-SNAPSHOT";"2019-04-09 11:03:20";"comment_lines";"Comment Lines";"Size";"INT";1;1188.00;0.00
