CleRegle;NomRegle;Severite;NomLangage;TypeRegle;Etiquette
objc:SingleGotoOrBreakPerIteration;Loops should not have more than one break or goto statement;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,confusing}
objc:S867;Boolean operators should have boolean operands;MAJOR;Objective-C;BUG;{based-on-misra,cert}
objc:S5293;Format strings should comply with ISO standards;MINOR;Objective-C;CODE_SMELL;{convention}
objc:S1144;Unused functions and methods should be removed;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,unused}
objc:NarrowAndWideStringConcat;Narrow and wide string literals should not be concatenated;MAJOR;Objective-C;BUG;{based-on-misra,cert}
objc:S873;enum values should not be used as operands to built-in operators other than [ ], =, ==, !=, unary &, and the relational operat;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S872;bool expressions should not be used as operands to built-in operators other than =, &&, ||, !, ==, !=, unary &, and the condit;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S995;Pointer and reference parameters should be const if the corresponding object is not modified;MINOR;Objective-C;CODE_SMELL;{bad-practice,based-on-misra}
objc:S874;Bitwise operators should not be applied to signed operands;MAJOR;Objective-C;BUG;{bad-practice,based-on-misra,cert,cwe,lock-in}
objc:S876;Unary minus should not be applied to an unsigned expression;MAJOR;Objective-C;BUG;{based-on-misra}
objc:S878;Comma operator should not be used;MAJOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S2324;Flexible array members should not be declared;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S3776;Cognitive Complexity of functions should not be too high;CRITICAL;Objective-C;CODE_SMELL;{brain-overload}
objc:S2323;Line-splicing should not be used in // comments;CRITICAL;Objective-C;BUG;{based-on-misra}
objc:S5278;Size argument of memory functions should be consistent;MAJOR;Objective-C;CODE_SMELL;{suspicious}
objc:S5279;Unevaluated operands should not have side effects;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S1117;Local variables should not shadow class fields;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert,pitfall,suspicious}
objc:S1116;Empty statements should be removed;MINOR;Objective-C;CODE_SMELL;{based-on-misra,cert,unused}
objc:LogicalExpressionOperands;Operands of && and || should be primary (C) or postfix (C++) expressions;MAJOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S969;Only standard forms of the defined directive should be used;BLOCKER;Objective-C;CODE_SMELL;{bad-practice,based-on-misra}
objc:S960;Function-like macros should not be used;CRITICAL;Objective-C;CODE_SMELL;{bad-practice,based-on-misra,cert,preprocessor}
objc:S961;Function-like macros should not be invoked without all of their arguments;BLOCKER;Objective-C;BUG;{based-on-misra,cwe,preprocessor}
objc:S5273;Appropriate size arguments should be passed to strncat and strlcpy;MAJOR;Objective-C;CODE_SMELL;{suspicious}
objc:S5270;User-defined types should not be passed as variadic arguments;MAJOR;Objective-C;BUG;{suspicious}
objc:S967;There shall be at most one occurrence of the # or ## operators in a single macro definition;MAJOR;Objective-C;BUG;{misra-c++2008,misra-c2004,misra-c2012,preprocessor}
objc:S5271;Functions which do not return should be declared as noreturn;MINOR;Objective-C;CODE_SMELL;{confusing}
objc:S966;Macros used in preprocessor directives should be defined before use;MAJOR;Objective-C;BUG;{based-on-misra,preprocessor}
objc:S2335;Octal and hexadecimal escape sequences should be terminated;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,pitfall}
objc:S1244;Floating point numbers should not be tested for equality;MAJOR;Objective-C;BUG;{based-on-misra}
objc:S860;Objects with integer type should not be converted to objects with pointer type;MAJOR;Objective-C;BUG;{based-on-misra,cert}
objc:S2216;Single-bit named bit fields should not be of a signed type;MAJOR;Objective-C;BUG;{based-on-misra}
objc:InvalidEscapeSequence;Only escape sequences defined in the ISO C standard should be used;MAJOR;Objective-C;BUG;{based-on-misra}
objc:OctalConstantAndSequence;Octal values should not be used;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,cert,pitfall}
objc:S1481;Unused local variables should be removed;MINOR;Objective-C;CODE_SMELL;{unused}
objc:S851;The value of a complex expression should only be cast to a type that is narrower and of the same signedness as the underlying ty;MAJOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S853;Results of ~ and << operations on operands of underlying types unsigned char and unsigned short should immediately be cast to th;MAJOR;Objective-C;BUG;{based-on-misra,misra}
objc:S5281;Argument of printf should be a format string;CRITICAL;Objective-C;CODE_SMELL;{bad-practice}
objc:S855;Function pointers should not be converted to any other type;MAJOR;Objective-C;BUG;{based-on-misra}
objc:S854;Constants of unsigned type should have a U suffix;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,pitfall}
objc:S5280;mktemp family of functions templates should have at least six trailing Xs;CRITICAL;Objective-C;CODE_SMELL;{suspicious}
