"Top 1000 unusual terms in quadrigramme.keyword","@timestamp per day","version.keyword: Descending",Count
SAUS,1575241200000,"V01_00_04",71
SAUS,1575327600000,"V01_00_04",37
SAUS,1575414000000,"V01_00_04",41
SAUS,1575500400000,"V01_00_04",69
SAUS,1575586800000,"V01_00_04",44
SAUS,1575673200000,"V01_00_04",37
SAUS,1575759600000,"V01_00_04",51
SAUS,1575846000000,"V01_00_04",42
SAUS,1575932400000,"V01_00_04",45
SAUS,1576018800000,"V01_00_04",37
SAUS,1576105200000,"V01_00_04",90
SAUS,1576191600000,"V01_00_04",518
SAUS,1576278000000,"V01_00_04",41
SAUS,1576364400000,"V01_00_04",37
SAUS,1576450800000,"V01_00_04",53
SAUS,1576537200000,"V01_00_04",189
SAUS,1576623600000,"V01_00_04",37
SAUS,1576710000000,"V01_00_04",37
SAUS,1576796400000,"V01_00_04",43
SAUS,1576882800000,"V01_00_04",37
SAUS,1576969200000,"V01_00_04",21050
SAUS,1577055600000,"V01_00_04",854
SAUS,1577142000000,"V01_00_04",40
RELM,1577055600000,"V19-04-SNAPSHOT",442
SADM,1575414000000,"V03_00_04",1
SADM,1575500400000,"V03_00_04",4
SADM,1575846000000,"V03_00_04",1
SADM,1575932400000,"V03_00_04",3
SADM,1576105200000,"V04-01-SNAPSHOT",2
SADM,1576105200000,"V03_00_04",1
SADM,1576191600000,"V04_00_00",4
SADM,1576191600000,"V04-01-SNAPSHOT",4
SADM,1576450800000,"V04-01-SNAPSHOT",2
SADM,1576537200000,"V04-01-SNAPSHOT",2
SADM,1576623600000,"V04-01-SNAPSHOT",7
SADM,1576710000000,"V04-01-SNAPSHOT",6
SADM,1577055600000,"V04-01-SNAPSHOT",2
SADM,1577142000000,"V04-01-SNAPSHOT",2
RVQA,1575241200000,"V02-02-SNAPSHOT",504
RVQA,1575846000000,"V02-02-SNAPSHOT",4
RVQA,1576018800000,"V02-02-SNAPSHOT",2
RVQA,1576191600000,"V02-02-SNAPSHOT",2
RVQA,1576450800000,"V02-02-SNAPSHOT",2
RSIG,1575241200000,"V04-12-SNAPSHOT",57
RSIG,1575932400000,"V04-12-SNAPSHOT",30
